Brand,Model Name,Vehicle Status,Year,Availability Start Year,Availability End Year,Real-World Range (km),Energy Efficiency (Wh/km),Battery Capacity (kWh),Vehicle Weight (kg),"Acceleration (0-100 km/h, sec)",Fast Charging Speed (kW),Towing Capacity (kg),Cargo Volume (L),Price (€)
CUPRA,Tavascan EnduranceCUPRA Tavascan Endurance,Available,2024,2024,,445.0,173.0,77.0,2170.0,6.8,120.0,1000.0,540.0,53289.0
BMW,i4 M50BMW i4 M50,Discontinued,2021,2021,2024,450.0,179.0,80.7,2290.0,3.9,131.0,1600.0,470.0,76489.0
MG,IM6 Long RangeMG IM6 Long Range,Available,2025,2025,,500.0,193.0,96.5,2320.0,5.4,250.0,,697.0,55189.0
Volkswagen,ID.3 ProVolkswagen ID.3 Pro,Discontinued,2023,2023,2024,350.0,166.0,58.0,1810.0,7.3,82.0,0.0,385.0,43989.0
Hyundai,INSTER Standard RangeHyundai INSTER Standard Range,Available,2024,2024,,255.0,153.0,39.0,1380.0,11.7,60.0,,280.0,25089.0
Volkswagen,ID.3 Pure (MY24-26)Volkswagen ID.3 Pure,Available,2024,2024,,325.0,160.0,52.0,1780.0,8.2,90.0,0.0,385.0,32389.0
Jeep,Avenger ElectricJeep Avenger Electric,Available,2023,2023,,310.0,164.0,50.8,1590.0,9.0,85.0,0.0,355.0,37889.0
Opel,Corsa-e (MY22-23)Opel Corsa-e,Discontinued,2021,2021,2023,295.0,157.0,46.3,1530.0,8.1,78.0,0.0,267.0,37489.0
Zeekr,001 Performance AWDZeekr 001 Performance AWD,Available,2023,2023,,480.0,196.0,94.0,2410.0,3.8,135.0,2000.0,539.0,64489.0
Volkswagen,e-Up!Volkswagen e-Up!,Discontinued,2021,2021,2023,205.0,158.0,32.3,1240.0,11.9,30.0,0.0,250.0,27889.0
Mazda,MX-30Mazda MX-30,Discontinued,2022,2022,2024,170.0,176.0,30.0,1720.0,9.7,32.0,0.0,366.0,36189.0
Mazda,6e Long Range 80 kWhMazda 6e Long Range 80 kWh,Available,2025,2025,,440.0,170.0,75.0,2030.0,7.8,70.0,1500.0,526.0,47189.0
Hyundai,IONIQ 9 Long Range AWDHyundai IONIQ 9 Long Range AWD,Available,2025,2025,,495.0,214.0,106.0,2650.0,6.7,195.0,2500.0,390.0,79389.0
Leapmotor,C10 RWD 81.9 kWhLeapmotor C10 RWD 81.9 kWh,Available,2025,2025,,410.0,200.0,81.9,2130.0,6.6,120.0,1500.0,435.0,42289.0
BMW,i4 eDrive35BMW i4 eDrive35,Discontinued,2024,2024,2025,430.0,156.0,67.1,2070.0,6.0,95.0,1600.0,470.0,58789.0
Kia,EV4 Fastback 81.4 kWhKia EV4 Fastback 81.4 kWh,Available,2025,2025,,495.0,158.0,78.0,1900.0,7.7,105.0,1000.0,490.0,46289.0
Hongqi,E-HS9 99 kWhHongqi E-HS9 99 kWh,Available,2022,2022,,370.0,243.0,90.0,2700.0,4.9,112.0,1500.0,438.0,79989.0
Polestar,4 Long Range Single MotorPolestar 4 Long Range Single Motor,Available,2024,2024,,495.0,190.0,94.0,2300.0,7.4,135.0,1500.0,541.0,65689.0
Hyundai,IONIQ 6 Long Range AWDHyundai IONIQ 6 Long Range AWD,Available,2022,2022,,440.0,168.0,74.0,2090.0,5.1,200.0,1500.0,416.0,59589.0
Nissan,LEAF 40 kWh (MY18-22)Nissan LEAF 40 kWh,Discontinued,2018,2018,2022,235.0,166.0,39.0,1580.0,7.9,40.0,0.0,435.0,31989.0
Hyundai,IONIQ 5 Long Range 2WD (MY22)Hyundai IONIQ 5 Long Range 2WD,Discontinued,2022,2022,2024,390.0,190.0,74.0,2010.0,7.3,200.0,1600.0,584.0,51589.0
Volkswagen,ID.7 Tourer Pro S (MY26)Volkswagen ID.7 Tourer Pro S,Available,2025,2025,,520.0,165.0,86.0,2230.0,6.7,145.0,1000.0,605.0,60489.0
MG,MG4 Electric 77 kWhMG MG4 Electric 77 kWh,Available,2023,2023,,425.0,175.0,74.4,1820.0,6.5,110.0,500.0,363.0,43089.0
Tesla,Model S AWD (MY26)Tesla Model S AWD,Available,2025,2025,,590.0,161.0,95.0,2160.0,3.2,140.0,,798.0,10089.0
Smart,EQ fortwo coupeSmart EQ fortwo coupe,Discontinued,2020,2020,2023,100.0,167.0,16.7,1090.0,11.6,0.0,0.0,260.0,24189.0
Renault,Scenic E-Tech EV87 220hpRenault Scenic E-Tech EV87 220hp,Discontinued,2023,2023,2025,480.0,181.0,87.0,1910.0,7.9,95.0,1100.0,545.0,48089.0
BYD,HANBYD HAN,Discontinued,2023,2023,2024,475.0,180.0,85.4,2320.0,3.9,85.0,0.0,410.0,69589.0
Alpine,A390 GTSAlpine A390 GTS,Available,2026,2026,,470.0,189.0,89.0,2190.0,3.9,140.0,1350.0,532.0,79189.0
BYD,DOLPHIN SURF 43.2 kWh BoostBYD DOLPHIN SURF 43.2 kWh Boost,Available,2025,2025,,270.0,160.0,43.2,1440.0,12.1,60.0,0.0,308.0,25789.0
Citroën,ë-C3 Aircross Extended Range 54 kWhCitroen e-C3 Aircross Extended Range 54 kWh,Available,2025,2025,,290.0,184.0,53.5,1600.0,13.0,70.0,550.0,460.0,29189.0
Hyundai,IONIQ 5 Long Range AWD (MY22)Hyundai IONIQ 5 Long Range AWD,Discontinued,2022,2022,2024,385.0,192.0,74.0,2120.0,5.1,200.0,1600.0,551.0,59489.0
BYD,DOLPHIN 60.4 kWh (MY25)BYD DOLPHIN 60.4 kWh,Available,2025,2025,,350.0,173.0,60.5,1730.0,7.0,75.0,0.0,345.0,35589.0
Tesla,Model X PlaidTesla Model X Plaid,Discontinued,2022,2022,2025,465.0,204.0,95.0,2530.0,2.9,140.0,2250.0,608.0,10089.0
Smart,#5 Brabus (MY25)Smart #5 Brabus,Available,2025,2025,,450.0,209.0,94.0,2450.0,3.8,230.0,1600.0,677.0,61389.0
TOGG,T10X Long Range RWDTOGG T10X Long Range RWD,Available,2025,2025,,440.0,193.0,85.0,2170.0,7.8,115.0,0.0,441.0,40189.0
BYD,SEALION 7 82.5 kWh AWD DesignBYD SEALION 7 82.5 kWh AWD Design,Available,2024,2024,,405.0,204.0,82.5,2410.0,4.5,115.0,1500.0,578.0,55889.0
Lucid,Gravity Grand Touring (MY26)Lucid Gravity Grand Touring,Available,2025,2025,,625.0,197.0,123.0,2680.0,3.6,210.0,2500.0,166.0,10089.0
BMW,iX xDrive60BMW iX xDrive60,Available,2025,2025,,525.0,208.0,109.1,2580.0,4.6,150.0,2500.0,500.0,10089.0
XPENG,G9 RWD Long Range (MY25)XPENG G9 RWD Long Range,Available,2025,2025,,480.0,192.0,92.2,2360.0,6.4,330.0,1500.0,731.0,64789.0
Volvo,EX30 Single Motor (MY24-26)Volvo EX30 Single Motor,Available,2023,2023,,275.0,178.0,49.0,1840.0,5.7,80.0,1000.0,325.0,37689.0
Peugeot,e-208 (MY20-21)Peugeot e-208,Discontinued,2020,2020,2021,270.0,171.0,46.3,1530.0,8.1,78.0,0.0,265.0,32289.0
Peugeot,e-208 (MY22)Peugeot e-208,Discontinued,2021,2021,2023,285.0,162.0,46.3,1530.0,9.0,78.0,0.0,265.0,36789.0
Tesla,Model Y RWD (BYD LFP)Tesla Model Y RWD,Discontinued,2022,2022,2025,345.0,165.0,57.0,1990.0,6.9,140.0,1600.0,971.0,47889.0
Renault,Megane E-Tech EV60 220hp (TU2025)Renault Megane E-Tech EV60 220hp,Available,2025,2025,,380.0,158.0,60.0,1710.0,7.4,87.0,900.0,440.0,38289.0
Tesla,Model X 100DTesla Model X 100D,Discontinued,2017,2017,2019,435.0,218.0,95.0,2530.0,4.9,100.0,2250.0,,10089.0
Škoda,Enyaq iV 60 (MY21-23)Skoda Enyaq iV 60,Discontinued,2021,2021,2023,340.0,171.0,58.0,1960.0,8.7,82.0,1000.0,585.0,43989.0
Tesla,Model Y Long Range AWD Launch Series (Juniper)Tesla Model Y Long Range AWD Launch Series,Discontinued,2025,2025,2025,455.0,165.0,75.0,2070.0,4.3,124.0,1600.0,971.0,64689.0
MG,ZS EVMG ZS EV,Discontinued,2019,2019,2021,220.0,193.0,42.5,1560.0,8.2,53.0,0.0,448.0,30989.0
Tesla,Model S Plaid (MY26)Tesla Model S Plaid,Available,2025,2025,,565.0,168.0,95.0,2270.0,2.4,140.0,,798.0,10089.0
BMW,iX xDrive45BMW iX xDrive45,Available,2025,2025,,470.0,202.0,94.8,2520.0,5.1,115.0,2500.0,500.0,85589.0
Audi,e-tron GT quattroAudi e-tron GT quattro,Discontinued,2021,2021,2024,420.0,202.0,85.0,2350.0,4.1,216.0,0.0,490.0,10089.0
Peugeot,e-3008 97 kWh Long RangePeugeot e-3008 97 kWh Long Range,Available,2024,2024,,500.0,194.0,96.9,2240.0,8.7,135.0,1200.0,588.0,52989.0
Polestar,4 Long Range Dual MotorPolestar 4 Long Range Dual Motor,Available,2024,2024,,485.0,194.0,94.0,2430.0,3.8,135.0,2000.0,541.0,73689.0
Tesla,Model 3 Long Range RWDTesla Model 3 Long Range RWD,Discontinued,2023,2023,2023,495.0,152.0,75.0,1820.0,5.9,124.0,1000.0,649.0,50589.0
Mercedes-Benz,EQB 300 4MATICMercedes-Benz EQB 300 4MATIC,Available,2023,2023,,345.0,193.0,66.5,2160.0,8.0,100.0,1700.0,495.0,60189.0
Porsche,Macan Electric (MY25)Porsche Macan Electric,Available,2024,2024,,495.0,192.0,95.0,2290.0,5.7,200.0,2000.0,624.0,81889.0
Renault,5 E-Tech 40kWh 95hpRenault 5 E-Tech 40kWh 95hp,Available,2025,2025,,260.0,154.0,40.0,1420.0,12.0,0.0,500.0,326.0,24489.0
Škoda,Elroq 50 (MY25)Skoda Elroq 50,Available,2024,2024,,310.0,168.0,52.0,1940.0,9.0,90.0,1000.0,470.0,34589.0
Mercedes-Benz,EQA 250+Mercedes-Benz EQA 250+,Available,2023,2023,,420.0,168.0,70.5,2050.0,8.6,90.0,1500.0,340.0,52789.0
Renault,5 E-Tech 40kWh 120hpRenault 5 E-Tech 40kWh 120hp,Available,2024,2024,,260.0,154.0,40.0,1440.0,9.0,55.0,500.0,326.0,26889.0
Peugeot,e-5008 73 kWhPeugeot e-5008 73 kWh,Available,2024,2024,,370.0,197.0,73.0,2260.0,9.7,90.0,1000.0,348.0,51889.0
Opel,Mokka-e 50 kWhOpel Mokka-e 50 kWh,Discontinued,2021,2021,2024,260.0,178.0,46.3,1590.0,9.2,78.0,0.0,310.0,39989.0
Alpine,A390 GTAlpine A390 GT,Available,2025,2025,,470.0,189.0,89.0,2190.0,4.8,120.0,1350.0,532.0,67689.0
Hyundai,Kona Electric 39 kWhHyundai Kona Electric 39 kWh,Discontinued,2021,2021,2023,245.0,160.0,39.2,1610.0,9.9,37.0,0.0,332.0,36489.0
Opel,Frontera Electric 44 kWhOpel Frontera Electric 44 kWh,Available,2024,2024,,240.0,183.0,43.8,1580.0,12.1,60.0,3500.0,460.0,28289.0
Honda,e:Ny1Honda e:Ny1,Available,2023,2023,,335.0,185.0,61.9,1730.0,7.6,60.0,0.0,361.0,43789.0
Audi,Q6 SUV e-tron quattroAudi Q6 SUV e-tron quattro,Available,2024,2024,,480.0,198.0,94.9,2400.0,5.9,200.0,2400.0,590.0,77389.0
BMW,i4 M60 xDriveBMW i4 M60 xDrive,Available,2025,2025,,465.0,174.0,81.1,2280.0,3.7,130.0,1600.0,470.0,77889.0
Opel,Astra ElectricOpel Astra Electric,Available,2023,2023,,320.0,159.0,50.8,1730.0,9.2,85.0,0.0,352.0,39589.0
Hyundai,IONIQ 5 N (MY24)Hyundai IONIQ 5 N,Available,2023,2023,,390.0,205.0,80.0,2220.0,3.4,205.0,0.0,480.0,74589.0
Audi,Q8 SUV e-tron 55 quattroAudi Q8 SUV e-tron 55 quattro,Discontinued,2022,2022,2024,505.0,210.0,106.0,2580.0,5.6,144.0,1800.0,631.0,86389.0
Honda,eHonda e,Discontinued,2020,2020,2022,170.0,168.0,28.5,1580.0,9.0,32.0,0.0,171.0,36589.0
Alpine,A290 Electric 220 hpAlpine A290 Electric 220 hp,Available,2024,2024,,305.0,170.0,52.0,1550.0,6.4,70.0,500.0,326.0,41189.0
Tesla,Model X Dual MotorTesla Model X Dual Motor,Discontinued,2023,2023,2025,485.0,196.0,95.0,2410.0,3.9,140.0,2250.0,608.0,10089.0
Tesla,Model 3 Standard Range Plus (CATL LFP55)Tesla Model 3 Standard Range Plus,Discontinued,2020,2020,2021,350.0,150.0,52.5,1820.0,5.6,95.0,1000.0,649.0,47589.0
MG,Marvel RMG Marvel R,Discontinued,2021,2021,2025,365.0,192.0,70.0,1880.0,7.9,82.0,750.0,507.0,45789.0
Fiat,500e Hatchback 24 kWhFiat 500e Hatchback 24 kWh,Available,2020,2020,,135.0,158.0,21.3,1250.0,9.0,40.0,0.0,185.0,29589.0
CUPRA,Born 170 kW - 79 kWhCUPRA Born 170 kW - 79 kWh,Available,2025,2025,,470.0,168.0,79.0,1970.0,7.1,135.0,0.0,385.0,43389.0
Volvo,EX90 Twin Motor (MY24-25)Volvo EX90 Twin Motor,Available,2022,2022,,505.0,212.0,107.0,2750.0,5.9,150.0,2200.0,703.0,94589.0
Porsche,Macan 4 Electric (MY24-25)Porsche Macan 4 Electric,Discontinued,2024,2024,2025,470.0,202.0,95.0,2400.0,5.2,200.0,2000.0,624.0,84489.0
BMW,iX2 eDrive20BMW iX2 eDrive20,Available,2024,2024,,395.0,164.0,64.7,1960.0,8.6,93.0,750.0,525.0,53489.0
Volkswagen,ID. Buzz LWB ProVolkswagen ID. Buzz LWB Pro,Available,2024,2024,,390.0,221.0,86.0,2620.0,7.9,145.0,1000.0,134.0,62089.0
Zeekr,001 Long Range RWDZeekr 001 Long Range RWD,Available,2023,2023,,505.0,186.0,94.0,2270.0,7.2,135.0,1500.0,539.0,59489.0
Dacia,Spring Electric 65Dacia Spring Electric 65,Available,2024,2024,,160.0,156.0,25.0,1030.0,13.7,29.0,0.0,343.0,19089.0
Tesla,Model S Long RangeTesla Model S Long Range,Discontinued,2019,2019,2020,530.0,179.0,95.0,2250.0,3.8,110.0,0.0,894.0,82489.0
Tesla,Model S 85DTesla Model S 85D,Discontinued,2015,2015,2016,420.0,192.0,80.8,2180.0,4.4,95.0,,895.0,94589.0
XPENG,G9 RWD Long Range (MY24)XPENG G9 RWD Long Range,Discontinued,2023,2023,2025,480.0,194.0,93.1,2280.0,6.4,224.0,1500.0,731.0,63389.0
Volkswagen,ID.7 Pro S (MY26)Volkswagen ID.7 Pro S,Available,2025,2025,,525.0,164.0,86.0,2220.0,6.6,145.0,1000.0,532.0,59589.0
Suzuki,e VITARA 61 kWh 2WDSuzuki e VITARA 61 kWh 2WD,Available,2025,2025,,330.0,181.0,59.8,1830.0,8.7,60.0,750.0,238.0,36689.0
Ford,Mustang Mach-E ER RWD (MY24)Ford Mustang Mach-E ER RWD,Available,2024,2024,,480.0,190.0,91.0,2160.0,5.9,115.0,1500.0,619.0,57789.0
Peugeot,e-208 51 kWh (MY24)Peugeot e-208 51 kWh,Discontinued,2023,2023,2025,315.0,153.0,48.1,1530.0,8.2,80.0,0.0,309.0,39189.0
KGM,Musso EV 4WDKGM Musso EV 4WD,Available,2025,2025,,360.0,225.0,81.0,2380.0,8.0,100.0,1800.0,907.0,48489.0
Fiat,600eFiat 600e,Available,2023,2023,,310.0,164.0,50.8,1590.0,9.0,79.0,0.0,360.0,35889.0
Ford,Capri Extended Range RWDFord Capri Extended Range RWD,Available,2024,2024,,455.0,169.0,77.0,2090.0,6.4,120.0,1000.0,572.0,50989.0
CUPRA,Tavascan VZCUPRA Tavascan VZ,Available,2024,2024,,425.0,181.0,77.0,2270.0,5.5,120.0,1200.0,540.0,61389.0
Opel,Corsa Electric 51 kWh (MY24)Opel Corsa Electric 51 kWh,Discontinued,2023,2023,2025,315.0,153.0,48.1,1540.0,8.1,80.0,0.0,267.0,37089.0
Mercedes-Benz,EQE 350+ (MY24)Mercedes-Benz EQE 350+,Discontinued,2024,2024,2025,555.0,173.0,96.0,2410.0,6.5,141.0,750.0,430.0,75289.0
Volkswagen,ID. Buzz ProVolkswagen ID. Buzz Pro,Discontinued,2022,2022,2024,345.0,223.0,77.0,2450.0,10.2,115.0,1000.0,112.0,63189.0
Kia,EV6 GTKia EV6 GT,Discontinued,2022,2022,2024,360.0,206.0,74.0,2200.0,3.5,200.0,1800.0,500.0,71489.0
Renault,Zoe ZE50 R135Renault Zoe ZE50 R135,Discontinued,2019,2019,2024,310.0,168.0,52.0,1570.0,9.5,41.0,0.0,338.0,36189.0
Hyundai,IONIQ 5 Long Range 2WD (MY21)Hyundai IONIQ 5 Long Range 2WD,Discontinued,2021,2021,2022,370.0,189.0,70.0,1980.0,7.4,185.0,1600.0,588.0,48289.0
Volvo,EX40 Single Motor ER (MY26)Volvo EX40 Single Motor ER,Available,2025,2025,,400.0,198.0,79.0,2070.0,7.3,125.0,1500.0,441.0,53289.0
Peugeot,e-5008 97 kWh Long RangePeugeot e-5008 97 kWh Long Range,Available,2024,2024,,485.0,200.0,96.9,2310.0,9.6,135.0,1000.0,348.0,55789.0
Polestar,2 Long Range Single Motor (MY26)Polestar 2 Long Range Single Motor,Available,2025,2025,,475.0,166.0,79.0,2080.0,6.2,125.0,1500.0,448.0,53489.0
BYD,SEAL 61.4 kWh RWD ComfortBYD SEAL 61.4 kWh RWD Comfort,Available,2025,2025,,365.0,168.0,61.4,2040.0,7.5,75.0,750.0,453.0,44389.0
BYD,DOLPHIN SURF 30 kWh ActiveBYD DOLPHIN SURF 30 kWh Active,Available,2025,2025,,190.0,158.0,30.0,1360.0,11.1,45.0,0.0,308.0,22489.0
Tesla,Model S 85Tesla Model S 85,Discontinued,2013,2013,2016,405.0,199.0,80.8,2170.0,5.6,95.0,,895.0,89089.0
Lexus,RZ 450e (MY23-25)Lexus RZ 450e,Discontinued,2023,2023,2025,350.0,183.0,64.0,2130.0,5.6,100.0,750.0,522.0,63989.0
Tesla,Model S P100DTesla Model S P100D,Discontinued,2016,2016,2019,475.0,200.0,95.0,2310.0,2.7,100.0,0.0,895.0,10089.0
Hyundai,IONIQ 9 Long Range RWDHyundai IONIQ 9 Long Range RWD,Available,2025,2025,,500.0,212.0,106.0,2610.0,9.4,195.0,1600.0,426.0,70489.0
Changan,Deepal S07 StandardChangan Deepal S07 Standard,Available,2025,2025,,410.0,190.0,78.0,2140.0,7.9,70.0,1500.0,635.0,45489.0
XPENG,G6 RWD Standard Range (MY24)XPENG G6 RWD Standard Range,Available,2024,2024,,365.0,179.0,65.3,2100.0,6.9,140.0,1500.0,571.0,44889.0
Toyota,C-HR+ 77 kWh (MY26)Toyota C-HR+ 77 kWh,Available,2025,2025,,430.0,167.0,72.0,1940.0,7.3,110.0,750.0,416.0,43989.0
Volvo,EX30 Twin Motor Performance (MY24-26)Volvo EX30 Twin Motor Performance,Available,2023,2023,,340.0,191.0,65.0,1960.0,3.6,114.0,1600.0,325.0,49389.0
Mercedes-Benz,EQS SUV 450 4MATICMercedes-Benz EQS SUV 450 4MATIC,Available,2023,2023,,530.0,223.0,118.0,2840.0,6.1,160.0,1800.0,645.0,10089.0
BYD,ATTO 2 64.8 kWhBYD ATTO 2 64.8 kWh,Available,2025,2025,,310.0,187.0,58.0,1680.0,7.9,100.0,,400.0,40189.0
Porsche,TaycanPorsche Taycan,Discontinued,2021,2021,2023,410.0,173.0,71.0,2120.0,5.4,183.0,0.0,491.0,89589.0
Tesla,Model S 90DTesla Model S 90D,Discontinued,2016,2016,2017,455.0,188.0,85.5,2220.0,4.4,90.0,,895.0,10089.0
Porsche,Taycan 4SPorsche Taycan 4S,Discontinued,2020,2020,2023,395.0,180.0,71.0,2210.0,4.0,183.0,0.0,491.0,10089.0
Nissan,e-NV200 EvaliaNissan e-NV200 Evalia,Discontinued,2018,2018,2021,170.0,218.0,37.0,1660.0,14.0,40.0,0.0,200.0,42189.0
Volvo,XC40 Recharge Single Motor (MY24)Volvo XC40 Recharge Single Motor,Discontinued,2022,2022,2024,340.0,194.0,66.0,2040.0,7.3,85.0,1500.0,441.0,48989.0
Toyota,bZ4X FWD 73.1 kWh (MY25)Toyota bZ4X FWD 73.1 kWh,Available,2025,2025,,385.0,179.0,69.0,2020.0,7.4,110.0,750.0,452.0,48889.0
XPENG,P7 RWD Long RangeXPENG P7 RWD Long Range,Available,2023,2023,,495.0,167.0,82.7,2090.0,6.7,138.0,0.0,440.0,50389.0
Tesla,Model S P85DTesla Model S P85D,Discontinued,2014,2014,2016,390.0,207.0,80.8,2260.0,3.3,95.0,,895.0,10089.0
Mitsubishi,Eclipse Cross 87 kWh  (MY26)Mitsubishi Eclipse Cross 87 kWh,Available,2025,2025,,480.0,181.0,87.0,1900.0,7.9,95.0,1100.0,545.0,45689.0
Opel,Corsa-e (MY20-21)Opel Corsa-e,Discontinued,2020,2020,2021,285.0,162.0,46.3,1530.0,8.1,78.0,0.0,267.0,30589.0
Volkswagen,ID.5 Pro (MY24-25)Volkswagen ID.5 Pro,Discontinued,2023,2023,2025,460.0,167.0,77.0,2130.0,6.7,120.0,1000.0,549.0,53889.0
Ford,Explorer Extended Range AWDFord Explorer Extended Range AWD,Available,2024,2024,,440.0,180.0,79.0,2160.0,5.3,135.0,1200.0,536.0,55789.0
Leapmotor,C10 RWD 69.9 kWhLeapmotor C10 RWD 69.9 kWh,Available,2024,2024,,355.0,197.0,69.9,2050.0,7.5,70.0,1500.0,435.0,38189.0
Audi,A6 Avant e-tron quattroAudi A6 Avant e-tron quattro,Available,2024,2024,,560.0,169.0,94.9,2370.0,4.5,200.0,2100.0,529.0,83789.0
Leapmotor,B10 56.2 kWhLeapmotor B10 56.2 kWh,Available,2025,2025,,305.0,180.0,55.0,1850.0,8.0,100.0,750.0,430.0,28989.0
Nissan,LEAF e+ 62 kWh (MY23-25)Nissan LEAF e+ 62 kWh,Discontinued,2022,2022,2024,340.0,174.0,59.0,1750.0,6.9,44.0,0.0,420.0,41089.0
Alfa,Romeo Junior Elettrica 54 kWhAlfa Romeo Junior Elettrica 54 kWh,Available,2024,2024,,320.0,159.0,50.8,1620.0,9.0,85.0,0.0,400.0,39189.0
Lucid,Air Sapphire (MY25-26)Lucid Air Sapphire,Available,2025,2025,,610.0,193.0,118.0,2490.0,2.0,190.0,0.0,910.0,10089.0
Volkswagen,ID.3 1stVolkswagen ID.3 1st,Discontinued,2020,2020,2021,350.0,166.0,58.0,1790.0,7.3,82.0,0.0,385.0,39489.0
Volvo,XC40 Recharge Pure Electric (MY23)Volvo XC40 Recharge Pure Electric,Discontinued,2022,2022,2022,330.0,203.0,67.0,2020.0,7.4,116.0,1500.0,450.0,48289.0
Volkswagen,ID.3 Pro (MY24-26)Volkswagen ID.3 Pro,Available,2024,2024,,365.0,162.0,59.0,1810.0,7.6,110.0,0.0,385.0,37989.0
Volkswagen,ID.4 Pure (MY24-25)Volkswagen ID.4 Pure,Discontinued,2023,2023,2025,285.0,182.0,52.0,1970.0,9.0,87.0,1000.0,543.0,40189.0
Toyota,bZ4X AWD 73.1 kWh (MY25)Toyota bZ4X AWD 73.1 kWh,Available,2025,2025,,375.0,184.0,69.0,2120.0,5.1,110.0,1500.0,452.0,52789.0
Nissan,LEAF 24 kWh (MY14-17)Nissan LEAF 24 kWh,Discontinued,2013,2013,2018,135.0,163.0,22.0,1500.0,11.5,36.0,,370.0,28789.0
BMW,iX2 xDrive30BMW iX2 xDrive30,Available,2023,2023,,385.0,168.0,64.7,2090.0,5.6,93.0,1200.0,525.0,61189.0
Tesla,Model S Long Range PlusTesla Model S Long Range Plus,Discontinued,2020,2020,2021,555.0,177.0,98.0,2250.0,3.8,125.0,0.0,894.0,86689.0
Opel,Mokka ElectricOpel Mokka Electric,Available,2024,2024,,285.0,178.0,50.8,1610.0,9.0,85.0,0.0,310.0,35489.0
Mercedes-Benz,EQE SUV 350+ (MY23-24)Mercedes-Benz EQE SUV 350+,Discontinued,2023,2023,2025,475.0,202.0,96.0,2490.0,6.9,141.0,750.0,520.0,88589.0
XPENG,G6 AWD Performance (MY25)XPENG G6 AWD Performance,Available,2025,2025,,425.0,188.0,80.0,2290.0,4.1,290.0,1500.0,571.0,52789.0
Ford,Explorer Standard Range RWDFord Explorer Standard Range RWD,Available,2024,2024,,305.0,170.0,52.0,1900.0,8.7,85.0,1000.0,536.0,42989.0
Dongfeng,Box 31.4 kWhDongfeng Box 31.4 kWh,Available,2025,2025,,190.0,153.0,29.0,1250.0,12.5,50.0,,326.0,23489.0
Audi,Q4 e-tron 50 quattroAudi Q4 e-tron 50 quattro,Discontinued,2021,2021,2024,385.0,199.0,76.6,2210.0,6.2,115.0,1200.0,520.0,64889.0
Opel,Ampera-eOpel Ampera-e,Discontinued,2017,2017,2021,335.0,173.0,58.0,1690.0,7.3,39.0,0.0,381.0,38589.0
Polestar,2Polestar 2,Discontinued,2020,2020,2021,390.0,192.0,75.0,2190.0,4.7,108.0,1500.0,440.0,58389.0
GWM,ORA 03 48 kWhGWM ORA 03 48 kWh,Available,2024,2024,,260.0,175.0,45.4,1610.0,8.3,45.0,0.0,228.0,31889.0
NIO,ET5 Long RangeNIO ET5 Long Range,Discontinued,2022,2022,2025,500.0,180.0,90.0,2230.0,4.0,100.0,1400.0,386.0,70189.0
Škoda,Enyaq iV 80x (MY21-23)Skoda Enyaq iV 80x,Discontinued,2021,2021,2023,425.0,181.0,77.0,2190.0,6.9,115.0,1200.0,585.0,53389.0
Volkswagen,ID.7 Tourer Pro (MY24-25)Volkswagen ID.7 Tourer Pro,Discontinued,2024,2024,2025,470.0,164.0,77.0,2190.0,6.6,125.0,1000.0,605.0,54989.0
Volkswagen,ID.3 GTX (MY24-26)Volkswagen ID.3 GTX,Available,2024,2024,,470.0,168.0,79.0,1980.0,5.9,135.0,0.0,385.0,49689.0
Maxus,MIFA 9Maxus MIFA 9,Available,2023,2023,,360.0,233.0,84.0,2480.0,9.2,103.0,1000.0,521.0,72089.0
Audi,A6 Avant e-tronAudi A6 Avant e-tron,Available,2024,2024,,465.0,163.0,75.8,2180.0,6.0,150.0,2100.0,529.0,67989.0
Nissan,LEAF 40 kWh (MY23-25)Nissan LEAF 40 kWh,Discontinued,2022,2022,2024,235.0,166.0,39.0,1580.0,7.9,40.0,0.0,435.0,31489.0
Peugeot,e-208 50 kWh (MY24)Peugeot e-208 50 kWh,Discontinued,2023,2023,2025,295.0,157.0,46.3,1530.0,9.0,78.0,0.0,309.0,36489.0
Mercedes-Benz,B 250eMercedes-Benz B 250e,Discontinued,2015,2015,2017,150.0,187.0,28.0,1720.0,7.9,0.0,,501.0,38489.0
Hyundai,Kona Electric 48 kWhHyundai Kona Electric 48 kWh,Available,2023,2023,,295.0,164.0,48.4,1690.0,8.8,50.0,3000.0,493.0,39789.0
Subaru,Solterra AWDSubaru Solterra AWD,Available,2022,2022,,320.0,200.0,64.0,2080.0,6.9,100.0,750.0,441.0,55989.0
Mercedes-Benz,EQE 350+ (MY22-23)Mercedes-Benz EQE 350+,Discontinued,2022,2022,2023,525.0,173.0,90.6,2350.0,6.4,141.0,750.0,430.0,80189.0
MG,ZS EV Standard RangeMG ZS EV Standard Range,Discontinued,2021,2021,2025,265.0,185.0,49.0,1640.0,8.6,50.0,500.0,448.0,35289.0
MG,Cyberster GTMG Cyberster GT,Available,2024,2024,,395.0,188.0,74.4,2060.0,3.2,85.0,,249.0,69689.0
BMW,i3 60 AhBMW i3 60 Ah,Discontinued,2013,2013,2017,115.0,163.0,18.8,1270.0,7.2,41.0,,260.0,34189.0
Volkswagen,ID.3 Pro PerformanceVolkswagen ID.3 Pro Performance,Discontinued,2021,2021,2023,350.0,166.0,58.0,1810.0,7.3,82.0,0.0,385.0,45189.0
