Brand,Model Name,Vehicle Status,Year,Availability Start Year,Availability End Year,Real-World Range (km),Energy Efficiency (Wh/km),Battery Capacity (kWh),Vehicle Weight (kg),"Acceleration (0-100 km/h, sec)",Fast Charging Speed (kW),Towing Capacity (kg),Cargo Volume (L),Price (€)
Hyundai,IONIQ 5 84 kWh RWD (MY24)Hyundai IONIQ 5 84 kWh RWD,Available,2024,2024,,450.0,178.0,80.0,2060.0,7.5,205.0,1600.0,577.0,49589.0
Volkswagen,e-GolfVolkswagen e-Golf,Discontinued,2017,2017,2021,190.0,168.0,32.0,1610.0,9.6,39.0,0.0,341.0,32789.0
Volkswagen,ID.4 Pro (MY24-25)Volkswagen ID.4 Pro,Discontinued,2023,2023,2025,445.0,173.0,77.0,2140.0,6.7,120.0,1000.0,543.0,48089.0
BYD,SEAL 82.5 kWh AWD ExcellenceBYD SEAL 82.5 kWh AWD Excellence,Available,2023,2023,,445.0,185.0,82.5,2260.0,3.8,100.0,1500.0,453.0,54289.0
Tesla,Model Y Long Range RWDTesla Model Y Long Range RWD,Discontinued,2024,2024,2025,455.0,165.0,75.0,1950.0,5.9,124.0,1600.0,971.0,51389.0
Kia,Niro EVKia Niro EV,Available,2022,2022,,385.0,168.0,64.8,1750.0,7.8,70.0,750.0,495.0,42589.0
Renault,Twingo ElectricRenault Twingo Electric,Discontinued,2020,2020,2024,135.0,158.0,21.3,1180.0,12.6,0.0,0.0,174.0,26089.0
Tesla,Model 3 Long Range AWDTesla Model 3 Long Range AWD,Discontinued,2019,2019,2020,455.0,162.0,73.5,1930.0,4.6,163.0,1000.0,542.0,56589.0
Mercedes-Benz,EQS 450+Mercedes-Benz EQS 450+,Available,2024,2024,,685.0,172.0,118.0,2540.0,6.2,160.0,750.0,620.0,10089.0
Zeekr,7X Performance AWDZeekr 7X Performance AWD,Available,2025,2025,,475.0,198.0,94.0,2530.0,3.8,260.0,2000.0,581.0,63989.0
Tesla,Model 3 Performance (Highland)Tesla Model 3 Performance,Discontinued,2024,2024,2025,490.0,153.0,75.0,1920.0,3.4,124.0,0.0,682.0,61989.0
Hyundai,INSTER Long RangeHyundai INSTER Long Range,Available,2024,2024,,300.0,153.0,46.0,1410.0,10.6,70.0,,351.0,26789.0
Tesla,Model Y Performance (Juniper)Tesla Model Y Performance,Available,2025,2025,,460.0,172.0,79.0,2100.0,3.8,120.0,1600.0,971.0,65789.0
